Condition,Radius
1.0000000038906545,-1.8404299903144636
1.1676541303877026,-1.8404582808669518
1.2406443422516944,-1.8414387447955904
1.207335429250994,-1.8459960490528773
1.0943368884589189,-1.8563840866914807
1.0526518134435505,-1.8752080363889392
1.2347484313676342,-1.906110351810823
1.4528499942465318,-1.9520420345422644
1.7034202756466326,-2.0166340893219936
1.9856568077040082,-2.1042437323963243
2.3003985092489403,-2.2191187871971647
2.6494251557091815,-2.3653869012335664
2.7663620821983583,-2.4185226646651334
2.5006900266504415,-2.3023557650302977
2.2403260601496915,-2.199842926476065
1.986778416514729,-2.107932371260646
1.7414819596605406,-2.0234706434907297
1.5064291220298427,-1.944551593148658
1.283953834039775,-1.868726771588811
1.0795406122043265,-1.7949855326324373
1.089220464832573,-1.721717502573845
1.07953427555501,-1.7948953011282542
1.283943449890469,-1.868620974097276
1.5064138254877353,-1.944428262392408
1.7415558578473211,-2.023595075392326
1.9867490131134657,-2.1077669112829858
2.240326139228427,-2.1998429264760677
2.500639659222579,-2.3021363214720725
2.7663622923035147,-2.4185226646651357
2.7663622923035147,-2.4185226646651357
2.7663622923035147,-2.4185226646651357
2.5006901076542225,-2.3023557650303004
2.2403260863963927,-2.1998429264760606
1.9867783038142433,-2.1079323712606532
1.741481935324832,-2.0234706434907332
1.5064291900965314,-1.9445515931486572
1.2839538920362759,-1.8687267715888098
1.0795405777027698,-1.7949855326324384
1.089220457810447,-1.7217175025738436
1.0795343519392866,-1.794895301128254
1.2839434622347148,-1.8686209740972757
1.5064137935106814,-1.9444282623924105
1.741555752573498,-2.0235950753923277
1.986748855166086,-2.1077669112829853
2.2403261648148094,-2.1998429264760655
2.5006397373616243,-2.3021363214720707
2.766361883599379,-2.4185226646651428
2.766361883599379,-2.4185226646651428
2.766361883599379,-2.4185226646651428
2.766361883599379,-2.4185226646651428
2.766361883599379,-2.4185226646651428
2.500690125666257,-2.3023557650302946
2.240326131103499,-2.1998429264760633
1.9867783598691064,-2.107932371260644
1.741482020074874,-2.0234706434907346
1.5064292415245701,-1.9445515931486637
1.283953864582256,-1.8687267715888163
1.0795405961876035,-1.7949855326324358
1.0892262106451105,-1.721564717971853
1.0795342864592017,-1.7948953011282507
1.2839434716447422,-1.8686209740972763
1.5064137225258163,-1.944428262392407
1.7415556910644348,-2.0235950753923246
1.986748802633896,-2.107766911282986
2.2403259171456402,-2.199842926476067
2.5006397357237304,-2.302136321472071
2.7663619685153367,-2.4185226646651223
2.7663619685153367,-2.4185226646651223
2.7663619685153367,-2.4185226646651223
2.7663619685153367,-2.4185226646651223
2.7663619685153367,-2.4185226646651223
2.5006900915428436,-2.3023557650302995
2.2403261474499905,-2.199842926476066
1.9867782430969025,-2.107932371260644
1.7414820662776294,-2.0234706434907324
1.506429236205849,-1.9445515931486619
1.2839538899154428,-1.8687267715888136
1.079540576903647,-1.7949855326324369
1.0892262612209616,-1.721564717971854
1.079534258469491,-1.7948953011282534
1.2839434529612932,-1.8686209740972743
1.506413695967933,-1.9444282623924065
